Postcode;Straat;Huisnummer van ;Huisnummer tot en met;Woonplaats;Voorkeursblok Sint Jan;Blokouderling;;;;;;;
2801 AA;van Bergen Ijzendoornprk;1;15;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AB;van Bergen Ijzendoornprk;19;51;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AC;van Bergen Ijzendoornprk;2;22;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AD;Piersonweg;1;7;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AD;Piersonweg;2;8;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AE;van Beverninghlaan;4;24;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AE;van Beverninghlaan;5;23;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AG;van Beverninghlaan;30;38;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AG;van Beverninghlaan;31;39;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AH;van Swietenstraat;1;19;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AJ;van Swietenstraat;2;26;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AK;Stationsplein;1;17;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AK;Stationsplein;2;18;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AL;Crabethstraat;1;39;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AM;Crabethstraat;41;101;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AN;Crabethstraat;2;40;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AP;Crabethpark;5;23;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AP;Crabethpark;10;24;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AR;Crabethpark;25;37;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AR;Crabethpark;26;38;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AS;Vredebest;1;25;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AS;Vredebest;2;32;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AT;Spoorlaan;1;3;GOUDA                   ;B-6;onbekend;;;;;;;
2801 AV;van Vreumingenstraat;1;25;GOUDA                   ;B-1;onbekend;;;;;;;
2801 AV;van Vreumingenstraat;2;22;GOUDA                   ;B-1;onbekend;;;;;;;
2801 BA;Spoorstraat;1;37;GOUDA                   ;B-1;onbekend;;;;;;;
2801 BX;Bouwmeesterplein;1;1;GOUDA                   ;B-6;onbekend;;;;;;;
2801 BZ;Kattenburcht;1;7;GOUDA                   ;B-6;onbekend;;;;;;;
2801 BZ;Kattenburcht;2;6;GOUDA                   ;B-6;onbekend;;;;;;;
2801 CA;Kattensingel;1;23;GOUDA                   ;B-1;onbekend;;;;;;;
2801 CA;Kattensingel;2;24;GOUDA                   ;B-1;onbekend;;;;;;;
2801 CB;Kattensingel;25;43;GOUDA                   ;B-1;onbekend;;;;;;;
2801 CB;Kattensingel;26;44;GOUDA                   ;B-1;onbekend;;;;;;;
2801 CC;Kattensingel;45;69;GOUDA                   ;B-1;onbekend;;;;;;;
2801 CC;Kattensingel;46;68;GOUDA                   ;B-1;onbekend;;;;;;;
2801 CD;Kattensingel;70;78;GOUDA                   ;B-1;onbekend;;;;;;;
2801 CD;Kattensingel;71;77;GOUDA                   ;B-1;onbekend;;;;;;;
2801 CE;Kattensingel;79;93;GOUDA                   ;B-1;onbekend;;;;;;;
2801 CE;Kattensingel;80;92;GOUDA                   ;B-1;onbekend;;;;;;;
2801 CG;Kattensingel;94;94;GOUDA                   ;B-1;onbekend;;;;;;;
2801 CH;Kattensingel;100;102;GOUDA                   ;B-1;onbekend;;;;;;;
2801 CH;Kattensingel;101;101;GOUDA                   ;B-1;onbekend;;;;;;;
2801 CJ;Regentesseplantsoen;55;61;GOUDA                   ;B-3;onbekend;;;;;;;
2801 CJ;Regentesseplantsoen;56;60;GOUDA                   ;B-3;onbekend;;;;;;;
2801 CK;Regentesseplantsoen;1;21;GOUDA                   ;B-3;onbekend;;;;;;;
2801 CK;Regentesseplantsoen;2;20;GOUDA                   ;B-3;onbekend;;;;;;;
2801 CL;Regentesseplantsoen;22;26;GOUDA                   ;B-3;onbekend;;;;;;;
2801 CL;Regentesseplantsoen;23;25;GOUDA                   ;B-3;onbekend;;;;;;;
2801 CM;Regentesseplantsoen;28;54;GOUDA                   ;B-3;onbekend;;;;;;;
2801 CM;Regentesseplantsoen;29;53;GOUDA                   ;B-3;onbekend;;;;;;;
2801 CN;Korte Dwarsstraat;1;5;GOUDA                   ;B-6;onbekend;;;;;;;
2801 CP;Vrouwevestesteeg;2;16;GOUDA                   ;B-3;onbekend;;;;;;;
2801 CP;Vrouwevestesteeg;1;11;GOUDA                   ;B-3;onbekend;;;;;;;
2801 CR;Herpstraat;1;3;GOUDA                   ;B-6;onbekend;;;;;;;
2801 CR;Herpstraat;2;12;GOUDA                   ;B-6;onbekend;;;;;;;
